inst#,actual,predicted,error
1,2,2.008,0.008
2,3,3.007,0.007
3,2,2.004,0.004
4,3,3.007,0.007
5,3,3.007,0.007
6,2,2.553,0.553
7,2,2.006,0.006
8,3,2.905,-0.095
9,2,1.993,-0.007
10,2,2.055,0.055
11,1,0.998,-0.002
12,2,2.002,0.002
13,2,2.006,0.006
14,1,1,0
15,2,2.006,0.006
16,3,3.001,0.001
17,3,2.892,-0.108
18,3,3.006,0.006
19,3,2.911,-0.089
20,3,3.007,0.007
21,3,3.006,0.006
22,1,1,-0
23,1,1,-0
24,1,1.919,0.919
25,3,3.007,0.007
26,1,0.995,-0.005
27,3,2.906,-0.094
28,1,1,-0
29,2,2.006,0.006
30,1,0.995,-0.005
31,2,1.931,-0.069
32,1,1,-0
33,2,2.006,0.006
34,1,0.995,-0.005
35,2,1.988,-0.012
36,1,0.995,-0.005
37,3,3.002,0.002
38,1,0.995,-0.005
39,3,2.49,-0.51
40,2,2.111,0.111
41,3,2.892,-0.108
42,1,0.995,-0.005
43,3,2.954,-0.046
44,3,2.996,-0.004
45,3,2.892,-0.108
46,1,1,-0
47,1,0.995,-0.005
48,2,1.93,-0.07
49,1,0.998,-0.002
50,2,1.936,-0.064
51,3,2.979,-0.021
52,1,0.999,-0.001
53,1,0.995,-0.005
54,2,1.93,-0.07
55,2,1.933,-0.067
56,1,0.995,-0.005
57,2,2.006,0.006
58,2,1.93,-0.07
59,3,3.007,0.007
60,3,3.007,0.007
61,3,2.893,-0.107
