inst#,actual,predicted,error
1,2,2.367,0.367
2,3,2.353,-0.647
3,2,2.364,0.364
4,3,2.367,-0.633
5,3,2.367,-0.633
6,2,2.367,0.367
7,2,2.367,0.367
8,3,2.367,-0.633
9,2,2.367,0.367
10,2,2.367,0.367
11,1,1.078,0.078
12,2,2.367,0.367
13,2,2.367,0.367
14,1,1.09,0.09
15,2,2.367,0.367
16,3,2.367,-0.633
17,3,2.367,-0.633
18,3,2.367,-0.633
19,3,2.367,-0.633
20,3,2.367,-0.633
21,3,2.367,-0.633
22,1,1.07,0.07
23,1,1.077,0.077
24,1,1.218,0.218
25,3,2.367,-0.633
26,1,1.071,0.071
27,3,2.367,-0.633
28,1,1.069,0.069
29,2,2.367,0.367
30,1,1.071,0.071
31,2,2.354,0.354
32,1,1.07,0.07
33,2,2.367,0.367
34,1,1.324,0.324
35,2,2.365,0.365
36,1,1.07,0.07
37,3,2.367,-0.633
38,1,1.07,0.07
39,3,2.367,-0.633
40,2,2.367,0.367
41,3,2.367,-0.633
42,1,1.074,0.074
43,3,2.367,-0.633
44,3,2.367,-0.633
45,3,2.367,-0.633
46,1,1.261,0.261
47,1,1.07,0.07
48,2,2.367,0.367
49,1,1.07,0.07
50,2,2.367,0.367
51,3,2.367,-0.633
52,1,1.076,0.076
53,1,1.069,0.069
54,2,1.816,-0.184
55,2,2.281,0.281
56,1,1.07,0.07
57,2,2.367,0.367
58,2,1.087,-0.913
59,3,2.367,-0.633
60,3,2.367,-0.633
61,3,2.367,-0.633
