inst#,actual,predicted,error
1,2,2.018,0.018
2,3,2.999,-0.001
3,2,1.993,-0.007
4,3,2.999,-0.001
5,3,2.999,-0.001
6,2,2.313,0.313
7,2,1.994,-0.006
8,3,3.031,0.031
9,2,1.98,-0.02
10,2,2.064,0.064
11,1,1,0
12,2,1.993,-0.007
13,2,1.994,-0.006
14,1,0.997,-0.003
15,2,1.994,-0.006
16,3,3.029,0.029
17,3,2.464,-0.536
18,3,3,0
19,3,3.031,0.031
20,3,3,0
21,3,3,0
22,1,0.975,-0.025
23,1,0.977,-0.023
24,1,1.019,0.019
25,3,2.999,-0.001
26,1,0.976,-0.024
27,3,3.031,0.031
28,1,1,0
29,2,1.994,-0.006
30,1,0.975,-0.025
31,2,1.959,-0.041
32,1,1,0
33,2,1.994,-0.006
34,1,0.984,-0.016
35,2,1.972,-0.028
36,1,0.975,-0.025
37,3,2.999,-0.001
38,1,1,0
39,3,2.992,-0.008
40,2,2.003,0.003
41,3,3.025,0.025
42,1,0.975,-0.025
43,3,3.018,0.018
44,3,3.02,0.02
45,3,3.031,0.031
46,1,1,0
47,1,0.975,-0.025
48,2,1.959,-0.041
49,1,0.993,-0.007
50,2,1.963,-0.037
51,3,3.03,0.03
52,1,1,-0
53,1,0.978,-0.022
54,2,1.958,-0.042
55,2,1.96,-0.04
56,1,0.976,-0.024
57,2,1.994,-0.006
58,2,1.907,-0.093
59,3,2.999,-0.001
60,3,2.999,-0.001
61,3,3.027,0.027
