inst#,actual,predicted,error
1,2,2.005,0.005
2,3,2.999,-0.001
3,2,1.98,-0.02
4,3,2.999,-0.001
5,3,2.999,-0.001
6,2,2.124,0.124
7,2,1.991,-0.009
8,3,3.031,0.031
9,2,1.981,-0.019
10,2,2.027,0.027
11,1,1.001,0.001
12,2,1.98,-0.02
13,2,1.991,-0.009
14,1,0.983,-0.017
15,2,1.992,-0.008
16,3,3.029,0.029
17,3,2.476,-0.524
18,3,3,0
19,3,3.031,0.031
20,3,3,0
21,3,3,0
22,1,0.975,-0.025
23,1,0.978,-0.022
24,1,1.105,0.105
25,3,2.999,-0.001
26,1,0.975,-0.025
27,3,3.031,0.031
28,1,1.001,0.001
29,2,1.991,-0.009
30,1,0.975,-0.025
31,2,1.98,-0.02
32,1,1.001,0.001
33,2,1.991,-0.009
34,1,0.977,-0.023
35,2,1.98,-0.02
36,1,0.975,-0.025
37,3,2.999,-0.001
38,1,1.001,0.001
39,3,3.009,0.009
40,2,2,0
41,3,3.024,0.024
42,1,0.975,-0.025
43,3,3.017,0.017
44,3,3.02,0.02
45,3,3.031,0.031
46,1,1,-0
47,1,0.975,-0.025
48,2,1.98,-0.02
49,1,0.978,-0.022
50,2,1.98,-0.02
51,3,3.03,0.03
52,1,0.999,-0.001
53,1,0.978,-0.022
54,2,1.979,-0.021
55,2,1.977,-0.023
56,1,0.975,-0.025
57,2,1.983,-0.017
58,2,1.973,-0.027
59,3,2.999,-0.001
60,3,2.999,-0.001
61,3,3.026,0.026
