inst#,actual,predicted,error
1,2,2.022,0.022
2,3,2.999,-0.001
3,2,1.996,-0.004
4,3,2.999,-0.001
5,3,2.999,-0.001
6,2,2.303,0.303
7,2,1.999,-0.001
8,3,3.032,0.032
9,2,1.977,-0.023
10,2,2.069,0.069
11,1,0.997,-0.003
12,2,1.991,-0.009
13,2,1.999,-0.001
14,1,1,0
15,2,1.999,-0.001
16,3,3.03,0.03
17,3,2.444,-0.556
18,3,3,0
19,3,3.032,0.032
20,3,3,0
21,3,3,0
22,1,1,-0
23,1,0.999,-0.001
24,1,1.924,0.924
25,3,2.999,-0.001
26,1,0.994,-0.006
27,3,3.032,0.032
28,1,1,-0
29,2,1.999,-0.001
30,1,0.994,-0.006
31,2,1.938,-0.062
32,1,1,-0
33,2,1.999,-0.001
34,1,0.994,-0.006
35,2,1.974,-0.026
36,1,0.994,-0.006
37,3,2.999,-0.001
38,1,0.994,-0.006
39,3,2.993,-0.007
40,2,2.007,0.007
41,3,3.025,0.025
42,1,0.994,-0.006
43,3,3.019,0.019
44,3,3.021,0.021
45,3,3.032,0.032
46,1,1,-0
47,1,0.994,-0.006
48,2,1.938,-0.062
49,1,0.997,-0.003
50,2,1.942,-0.058
51,3,3.032,0.032
52,1,0.999,-0.001
53,1,0.994,-0.006
54,2,1.938,-0.062
55,2,1.939,-0.061
56,1,0.994,-0.006
57,2,1.998,-0.002
58,2,1.938,-0.062
59,3,2.999,-0.001
60,3,2.999,-0.001
61,3,3.028,0.028
