inst#,actual,predicted,error
1,2,2.02,0.02
2,3,3,-0
3,2,1.999,-0.001
4,3,3,-0
5,3,3,-0
6,2,2.398,0.398
7,2,1.999,-0.001
8,3,2.983,-0.017
9,2,2.004,0.004
10,2,2.188,0.188
11,1,1.001,0.001
12,2,1.999,-0.001
13,2,1.999,-0.001
14,1,0.983,-0.017
15,2,2,0
16,3,3.001,0.001
17,3,2.781,-0.219
18,3,3.001,0.001
19,3,3.002,0.002
20,3,3,-0
21,3,2.999,-0.001
22,1,0.974,-0.026
23,1,0.975,-0.025
24,1,1.006,0.006
25,3,3,-0
26,1,0.975,-0.025
27,3,3.001,0.001
28,1,1.001,0.001
29,2,1.999,-0.001
30,1,0.974,-0.026
31,2,1.977,-0.023
32,1,1.001,0.001
33,2,1.999,-0.001
34,1,0.976,-0.024
35,2,1.991,-0.009
36,1,0.974,-0.026
37,3,3,-0
38,1,1.001,0.001
39,3,2.984,-0.016
40,2,2.753,0.753
41,3,2.784,-0.216
42,1,0.974,-0.026
43,3,3,-0
44,3,2.992,-0.008
45,3,2.996,-0.004
46,1,1,0
47,1,0.974,-0.026
48,2,1.977,-0.023
49,1,0.977,-0.023
50,2,2.052,0.052
51,3,2.964,-0.036
52,1,0.999,-0.001
53,1,0.98,-0.02
54,2,1.976,-0.024
55,2,1.978,-0.022
56,1,0.975,-0.025
57,2,1.999,-0.001
58,2,1.926,-0.074
59,3,3,-0
60,3,3,-0
61,3,2.959,-0.041
