inst#,actual,predicted,error
1,2,2,-0
2,3,3,-0
3,2,2.001,0.001
4,3,3,-0
5,3,3,-0
6,2,2.492,0.492
7,2,2,0
8,3,2.921,-0.079
9,2,1.992,-0.008
10,2,2.003,0.003
11,1,1.001,0.001
12,2,2.001,0.001
13,2,2,-0
14,1,0.983,-0.017
15,2,2.001,0.001
16,3,3.001,0.001
17,3,2.719,-0.281
18,3,3.001,0.001
19,3,3.001,0.001
20,3,3,0
21,3,2.999,-0.001
22,1,0.975,-0.025
23,1,0.978,-0.022
24,1,1.014,0.014
25,3,3,-0
26,1,0.975,-0.025
27,3,3.001,0.001
28,1,1.001,0.001
29,2,2,-0
30,1,0.975,-0.025
31,2,1.967,-0.033
32,1,1.001,0.001
33,2,2,-0
34,1,0.977,-0.023
35,2,1.982,-0.018
36,1,0.975,-0.025
37,3,3,-0
38,1,1.001,0.001
39,3,3,0
40,2,2.719,0.719
41,3,2.72,-0.28
42,1,0.975,-0.025
43,3,3,-0
44,3,2.972,-0.028
45,3,3.001,0.001
46,1,1,-0
47,1,0.975,-0.025
48,2,1.967,-0.033
49,1,0.978,-0.022
50,2,1.971,-0.029
51,3,3,0
52,1,0.999,-0.001
53,1,0.978,-0.022
54,2,1.968,-0.032
55,2,1.971,-0.029
56,1,0.975,-0.025
57,2,2.001,0.001
58,2,1.973,-0.027
59,3,3,0
60,3,3,-0
61,3,2.793,-0.207
