inst#,actual,predicted,error
1,2,2.006,0.006
2,3,2.963,-0.037
3,2,2.003,0.003
4,3,2.963,-0.037
5,3,2.963,-0.037
6,2,2.502,0.502
7,2,2.005,0.005
8,3,2.963,-0.037
9,2,1.99,-0.01
10,2,2.799,0.799
11,1,0.998,-0.002
12,2,2.002,0.002
13,2,2.005,0.005
14,1,1,0
15,2,2.005,0.005
16,3,2.963,-0.037
17,3,2.963,-0.037
18,3,2.963,-0.037
19,3,2.963,-0.037
20,3,2.963,-0.037
21,3,2.963,-0.037
22,1,1,-0
23,1,1,-0
24,1,1.935,0.935
25,3,2.963,-0.037
26,1,0.995,-0.005
27,3,2.963,-0.037
28,1,1,-0
29,2,2.052,0.052
30,1,0.995,-0.005
31,2,1.947,-0.053
32,1,1,-0
33,2,2.005,0.005
34,1,0.995,-0.005
35,2,1.988,-0.012
36,1,0.995,-0.005
37,3,2.963,-0.037
38,1,0.995,-0.005
39,3,2.942,-0.058
40,2,2.023,0.023
41,3,2.963,-0.037
42,1,0.995,-0.005
43,3,2.963,-0.037
44,3,2.963,-0.037
45,3,2.963,-0.037
46,1,1,-0
47,1,0.995,-0.005
48,2,1.946,-0.054
49,1,0.998,-0.002
50,2,1.948,-0.052
51,3,2.963,-0.037
52,1,0.999,-0.001
53,1,0.995,-0.005
54,2,1.946,-0.054
55,2,1.949,-0.051
56,1,0.995,-0.005
57,2,2.005,0.005
58,2,1.946,-0.054
59,3,2.963,-0.037
60,3,2.963,-0.037
61,3,2.963,-0.037
